	name changed	name E	name D	synonyms D	category	category D	energy kJ	energy kcal	protein	water	starch	sugars	dietary fibres	fat, total
15	Cinnamon cookie	Cinnamon cookie, star-shaped	Zimtstern		Sweets	Süssigkeiten/Guetzli	2010	485	11.9	7	2	49	6.8	25
13	Hard caramels	Hard caramels	Hartkaramellen, Hartbonbons		Sweets	Süssigkeiten/Bonbons, Frucht- und Kaugummi	1630	385	0.5	4.1	0	95	0	0
7	Popcorn	Popcorn	Popcorn	Puffmais	Snacks	Salzige Snacks/Sonstige salzige Snacks	1550	370	12	4.1	61.7	1.2	15	4
14	Pretzel sticks	Pretzel sticks (dry lye pretzel)	Laugengebäck trocken (Bretzel, Sticks)		Snacks	Salzige Snacks/Salzsticks und Bretzel	1530	360	8.6	9	71.3	0.5	0.7	4
14	Tortilla chips	Tortilla chips, corn-based	Mais-Chips (Apérogebäck)		Snacks	Salzige Snacks/Chips	2130	510	7.8	2	53.6	2.4	4.4	27
12	Pommes Chips	Pommes Chips	Pommes Chips		Snacks	Salzige Snacks/Chips	2240	540	4.9	4.8	46.8	2.6	3.6	35
6	Walnut	Walnut	Baumnuss	Walnuss	Nuts	Nüsse, Samen und Ölfrüchte	3060	745	15.9	4.1	1.5	2	6.7	71
10	Cashew nut	Cashew nut	Cashewnuss	Cashewkern	Nuts	Nüsse, Samen und Ölfrüchte	2460	595	18.2	5.2	23.5	5.9	3.6	45
6	Peanut	Peanut	Erdnuss		Nuts	Nüsse, Samen und Ölfrüchte	2490	600	26	7	6.7	4	7.6	49
8	Hazelnut	Hazelnut	Haselnuss		Nuts	Nüsse, Samen und Ölfrüchte	2650	645	15.2	4	1.4	4.3	9.7	60
7	Coconut	Coconut, dried (coco flakes)	Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken)		Nuts	Nüsse, Samen und Ölfrüchte	2720	660	6.2	2.2	0	6.4	20	63
13	Pumpkin seeds	Pumpkin seeds	Kürbiskerne		Nuts	Nüsse, Samen und Ölfrüchte	2500	605	32.6	5.6	1.5	1.4	6	49
7	Linseed	Linseed	Leinsamen		Nuts	Nüsse, Samen und Ölfrüchte	1950	475	17.9	6.4	0	1.6	27.3	34
6	Almond	Almond	Mandel		Nuts	Nüsse, Samen und Ölfrüchte	2380	580	21.2	11.7	4	3.9	13	50
12	Olive, green	Olive, green	Olive, grün		Nuts	Nüsse, Samen und Ölfrüchte	520	130	1.3	77	0	0	4	13
12	Olive, black	Olive, black	Olive, schwarz		Nuts	Nüsse, Samen und Ölfrüchte	620	150	0.9	72.4	0		4.3	14
9	Pine nuts	Pine nuts	Pinienkerne		Nuts	Nüsse, Samen und Ölfrüchte	2460	595	31.6	5.1	1.4	5.2	3.7	45
16	Pistachio, dried	Pistachio, dried	Pistazie		Nuts	Nüsse, Samen und Ölfrüchte	2400	580	20.3	3.9	1.7	7.7	10	45
15	Sunflower seeds	Sunflower seeds	Sonnenblumenkerne		Nuts	Nüsse, Samen und Ölfrüchte	2590	630	21.3	4.5	9.4	2.1	8	53
15	Farmer's salami	Salami Farmer style	Bauernsalami	Salami nach Bauernart	Meat	Fleisch- und Wurstwaren/Rohwurstware	2200	535	20.6	23.7	0	0.8	0	50
9	Landjäger	Landjäger sausage	Landjäger		Meat	Fleisch- und Wurstwaren/Rohwurstware	2030	495	26.6	26.6	0	0	0	43
12	Swiss Salami	Swiss Salami, beef and pork	Schweizer Salami, Schweine- und Rindfleisch		Meat	Fleisch- und Wurstwaren/Rohwurstware	2020	490	22	27.7	0	1.3	0	44
10	Dried meat	Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat)	Trockenfleisch	"Hobelfleisch;Bündnerfleisch"	Meat	Fleisch- und Wurstwaren/Rohwurstware	810	190	39.3	52.2	0	0.4	0	4
