name D	synonyms D	category D	energy kJ	energy kcal	protein	water	starch	sugars	dietary fibres	fat, total
Meringue		Süssigkeiten/Sonstige Süssigkeiten	1700	400	5	1	0	94	0	1
Grittibänz		Süssigkeiten/Sonstige süsse Backwaren	1390	330	9.2	28.7	43.5	2.8	2.2	11
Nussgipfel aus Blätterteig		Süssigkeiten/Sonstige süsse Backwaren	1730	420	6.6	28.3	19.1	13.8	2.6	27
Kakaopulver		"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke"	1690	410	19.8	5.1	8.6	2.2	32.7	25
Schokoladenpulver		"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke"	1690	405	6.3	1.7	0.7	70.6	10.5	8
Schokolade, weiss		Süssigkeiten/Schokolade und Kakaoerzeugnisse	2370	570	6.8	1.3		55.3	0.2	35
Schokolade, dunkel (bitter)		Süssigkeiten/Schokolade und Kakaoerzeugnisse	2230	535	5.2	0.7	2.3	50	7	32
Milchschokolade		Süssigkeiten/Schokolade und Kakaoerzeugnisse	2240	540	6.5	1.3	0.6	55.2	1.9	31
Rhabarberkuchen, gebacken (mit Blätterteig)	Rhabarberwähe	"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"	470	115	2.5	79.3	6.9	2.5	2	7
Apfelkuchen, gebacken (mit Blätterteig)	Apfelwähe	"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"	600	145	2.3	72.5	6.9	9.5	1.7	7
Erdnussbutter		Süssigkeiten/Konfitüren und süsse Brotaufstriche	2640	640	22.6	1.1	6	6.4	7.6	54
Konfitüre	Marmelade	Süssigkeiten/Konfitüren und süsse Brotaufstriche	1040	250	0.5	36	0	58.7	2.2	1
Kokosmakronen		Süssigkeiten/Guetzli	2300	555	5.9	5.4	0	35.8	12.7	40
Amaretti (Mandelgebäck)		Süssigkeiten/Guetzli	1900	455	7.6	0.7	1	75.7	3.2	12
Brunsli		Süssigkeiten/Guetzli	2050	495	12.7	9	4.9	38.2	7.9	29
Zimtstern		Süssigkeiten/Guetzli	2010	485	11.9	7	2	49	6.8	25
Mailänderli		Süssigkeiten/Guetzli	1800	435	7.1	17.6	30.4	22.5	1.4	21
Rahmkaramellen	Rahmbonbons	Süssigkeiten/Bonbons, Frucht- und Kaugummi	1490	355	0.4	16	0	79.3	0	4
Hartkaramellen, Hartbonbons		Süssigkeiten/Bonbons, Frucht- und Kaugummi	1630	385	0.5	4.1	0	95	0	0
